,Rates collection,Percentage of accumulated deficit from income,Average per capita expenditure in NIS,Education,Welfare,Total income from the government,Total expenses,Total income,Surplus or deficit per year,Development Work,immigration_balance,Socioeconomic cluster from 1 to 10 lowest 1,Percentage of eligible for a Bagrut,Gini Index of Inequality Index 0 Full Equality,Compactness Cluster from 1 to 10 1 highest
404,31631.0,0.04162957532596743,5438.674033149171,29798.0,13693.0,47733.0,113337.0,114582.0,357.0,10679.0,-206.0,5,65.1,0.376,8
405,627196.0,0.02009986144378172,5792.193995381062,413941.0,186055.0,385151.0,1512569.0,1465831.0,1239.0,155977.0,-1730.0,5,58.4,0.4215,7
406,323850.0,0.01099062522089489,5921.222672064778,223636.0,107204.0,242674.0,926162.0,905408.0,647.0,162641.0,2120.0,5,70.7,0.4161,7
407,25943.0,0.07042840241944891,4847.896678966789,44520.0,14085.0,69061.0,175335.0,180041.0,-14024.0,27214.0,-26.0,3,55.5,0.3488,5
408,633454.0,0.09342144077148029,6371.610637230306,365424.0,206239.0,390905.0,1704914.0,1647534.0,2126.0,388305.0,-329.0,5,68.1,0.438,7
409,31401.0,0.383362138365488,9729.479768786126,32804.0,24117.0,71945.0,206019.0,177631.0,-25507.0,30787.0,-170.0,4,62.1,0.3668,5
410,117860.0,0.03771293141756777,3819.489904357067,115169.0,67209.0,166387.0,416138.0,405060.0,-11362.0,54332.0,1236.0,3,39.3,0.4349,8
411,18517.0,0.14356848706699324,3689.5768374164813,42280.0,29811.0,91271.0,228878.0,222918.0,-13707.0,61676.0,710.0,1,36.5,0.3783,6
412,287416.0,0.08649982171065226,5496.776811594203,328120.0,156814.0,444333.0,1100490.0,1102141.0,-12896.0,122781.0,-2024.0,3,41.6,0.4103,2
413,282069.0,0.09775779170284805,6220.465477114041,186076.0,126447.0,252469.0,947869.0,947771.0,-66108.0,68033.0,-1038.0,5,68.6,0.3674,3
414,59482.0,0.003522132317943836,5472.365145228216,40535.0,12710.0,32915.0,176259.0,168080.0,2266.0,43056.0,-82.0,8,85.7,0.4482,3
415,175550.0,0.25182611075676375,5882.651245551601,83191.0,32227.0,73314.0,425618.0,409203.0,-2256.0,86719.0,-272.0,8,84.8,0.4436,2
416,57805.0,0.0924421158310849,6353.433734939758,49956.0,41695.0,101755.0,264322.0,254992.0,-21302.0,25100.0,-362.0,4,65.3,0.4551,4
417,165311.0,0.057610516552953545,6663.034351145038,127257.0,28965.0,85850.0,512571.0,484113.0,1795.0,158880.0,762.0,8,84.9,0.4833,7
418,434556.0,0.033465682912551885,8436.703786191538,229098.0,78384.0,173705.0,989578.0,975447.0,8495.0,199228.0,-3.0,8,81.9,0.4944,7
419,271919.0,0.15242899489610187,6088.665105386416,129122.0,79603.0,123183.0,704078.0,673015.0,-22066.0,138380.0,494.0,5,60.1,0.4134,8
420,463575.0,0.005999867123896745,5466.652360515021,350937.0,130046.0,321558.0,1203640.0,1174026.0,2281.0,79271.0,-994.0,5,73.3,0.4057,5
421,1140908.0,0.006835777486482058,8661.453147877013,428823.0,263152.0,809068.0,3109540.0,2929440.0,1165.0,729207.0,-194.0,7,73.3,0.4829,9
422,112861.0,0.3504616656159413,6555.047619047619,63016.0,51647.0,98181.0,350116.0,331517.0,-11097.0,37771.0,-262.0,4,45.9,0.3963,6
423,15679.0,0.134829776,5001.35386,15679.0,16580.0,81754.0,161456.0,161868.0,743.0,14219.0,31.0,3,58.7,0.3536,5
424,13199.0,0.12245182059424892,3682.6666666666665,27140.0,13017.0,58174.0,117792.0,114935.0,351.0,19700.0,-1.0,3,50.0,0.3659,5
425,76170.0,0.048302550029292964,9570.374331550802,54127.0,38337.0,61503.0,202255.0,194586.0,-842.0,21594.0,-68.0,4,62.4,0.3943,5
426,24720.0,0.12529821341825445,5174.75884244373,70495.0,23429.0,110113.0,193650.0,185270.0,-5798.0,27600.0,33.0,3,69.8,0.3467,4
427,127118.0,0.08294294314094597,6743.561643835616,80249.0,28955.0,75988.0,312034.0,303329.0,-5545.0,63183.0,1690.0,5,78.8,0.4434,4
428,97309.0,0.018010217334834183,6176.879432624113,37731.0,14448.0,32016.0,204161.0,196333.0,336.0,29973.0,-87.0,7,73.0,0.4541,3
429,60281.0,0.06302873067398226,6355.7692307692305,51024.0,14184.0,51659.0,174576.0,161117.0,-800.0,38054.0,276.0,6,67.4,0.4201,7
430,1789885.0,0.04729473983443176,5209.968670924208,1169022.0,598706.0,1447799.0,5630747.0,5730447.0,-5903.0,1306849.0,-4311.0,4,34.2,0.4416,10
431,35875.0,0.01799120138326512,5285.609756097561,48868.0,12644.0,55066.0,137219.0,137067.0,-2527.0,28473.0,31.0,7,61.8,0.419112411458769,3
432,272716.0,0.016884352289728857,6646.444929116685,241179.0,68614.0,180351.0,873533.0,880934.0,2096.0,250513.0,1543.0,8,78.5,0.4609,5
433,23147.0,0.222029564242679,4746.761904761905,47382.0,9607.0,67272.0,115469.0,114192.0,-575.0,15247.0,166.0,3,38.4,0.3494,4
434,135074.0,0.03199824966839421,5479.843400447427,65741.0,35487.0,63354.0,291654.0,292516.0,655.0,34085.0,-481.0,5,64.0,0.411,7
435,152760.0,0.04956179226511342,4810.0,85177.0,70337.0,164419.0,415768.0,137067.0,18572.0,68074.0,-681.0,4,45.8,0.3597,4
436,62912.0,0.06877070619006102,7090.0,56725.0,28887.0,60905.0,206704.0,200725.0,-4753.0,25171.0,84.0,5,55.4,0.3802,4
437,17716.0,0.0230855321812698,3654.8,57313.0,43760.0,124515.0,312034.0,316302.0,-10262.0,79812.0,259.0,1,36.2,0.389,7
438,189702.0,0.01996184595303538,5291.826697892271,228101.0,22173.0,186526.0,654030.0,637416.0,-17199.0,174311.0,919.0,8,83.2,0.4282,7
439,79600.0,0.07739811252129634,6263.854447439353,76375.0,24552.0,82498.0,281358.0,261195.0,-7560.0,45166.0,-135.0,5,75.5,0.3826,9
440,37963.0,0.07669366920046607,5866.635071090047,28355.0,18044.0,65346.0,153878.0,144184.0,174.0,20715.0,-209.0,5,65.7,0.3759,5
441,131977.0,0.12067395788915651,6936.573033707866,77527.0,48183.0,109584.0,454298.0,433855.0,-20987.0,73411.0,46.0,5,68.5,0.4119,6
442,122865.0,0.0038621501539954925,6547.410714285715,82279.0,25614.0,99985.0,386546.0,387349.0,185.0,82308.0,1040.0,7,84.9,0.435,6
443,78505.0,0.1374239926135989,4398.010752688172,125218.0,50531.0,89163.0,388032.0,379075.0,-38712.0,49005.0,-545.0,3,52.9,0.3768,5
444,103850.0,0.044148242180612855,6745.7037037037035,84183.0,46608.0,136431.0,287901.0,283590.0,-14566.0,10852.0,-467.0,5,60.5,0.3868,9
445,68973.0,0.05028049550064347,6952.660944206008,51627.0,18813.0,39654.0,183947.0,201251.0,649.0,18965.0,-155.0,7,82.0,0.4365,4
446,26119.0,0.10771674422008239,5266.440677966101,58083.0,19646.0,91791.0,263196.0,232313.0,-8330.0,98937.0,8.0,3,56.9,0.384,2
447,568859.0,0.03689582023074306,6276.492385786802,405681.0,159016.0,374540.0,1579085.0,1551856.0,86.0,329623.0,2606.0,5,65.3,0.4243,9
448,17936.0,0.04524056978663569,5178.185053380783,62620.0,19855.0,97096.0,193489.0,179927.0,-8159.0,41655.0,69.0,2,63.6,0.37,3
449,123823.0,0.08558494489702831,7154.767932489452,101596.0,49748.0,122127.0,416872.0,407782.0,2.0,64583.0,-244.0,4,67.7,0.3784,7
450,113031.0,0.029820908767327674,6210.023364485982,83177.0,44324.0,96254.0,401915.0,410182.0,287.0,134829.0,577.0,5,68.1,0.4023,9
451,12841.0,0.09448614055854004,5485.652173913043,58252.0,23256.0,81514.0,155541.0,153758.0,-15602.0,18130.0,15.0,2,60.0,0.36972559926991544,3
452,48262.0,0.10157253466178501,5915.371900826446,32599.0,157138.0,59884.0,168205.0,166610.0,-6656.0,13962.0,-94.0,5,63.1,0.4483,6
453,840874.0,0.1034546089109174,6559.557683538531,481532.0,35587.0,331099.0,1770895.0,1693361.0,2344.0,325942.0,3457.0,6,70.7,0.4245,6
454,56991.0,0.11451951183260944,6410.577507598785,45156.0,10480.0,104324.0,248452.0,242212.0,-16719.0,19706.0,-98.0,4,47.6,0.4321,8
455,9598.0,0.3751116481899858,3361.4563106796113,26514.0,20211.0,43771.0,79915.0,76132.0,19.0,9967.0,22.0,2,37.3,0.3604,2
456,89175.0,0.12179351017705196,6596.028169014085,85246.0,44362.0,74669.0,317588.0,320132.0,-5221.0,59473.0,762.0,8,82.4,0.4662,2
457,132595.0,0.03573456120558244,6144.138576779026,109279.0,30072.0,118389.0,457485.0,413941.0,498.0,111573.0,208.0,5,72.7,0.4279,8
458,110036.0,0.06999336350326989,6566.968911917098,73111.0,52752.0,46859.0,307585.0,299857.0,816.0,52875.0,157.0,6,68.3,0.425,7
459,153807.0,0.015365878454781037,8015.647773279353,144504.0,38346.0,147006.0,491039.0,481977.0,-5872.0,90312.0,374.0,4,57.7,0.3742,4
460,52017.0,0.08027062359330989,5530.516795865633,68992.0,26199.0,117230.0,228803.0,222597.0,-6991.0,12228.0,139.0,5,68.6,0.4045,3
461,76211.0,0.10659568300563486,5422.474489795918,62925.0,28804.0,56916.0,251137.0,282882.0,-4689.0,36795.0,205.0,6,68.9,0.433,4
462,43265.0,0.333841924897979,7912.2535211267605,39940.0,25553.0,70001.0,184437.0,165162.0,-18487.0,6149.0,-269.0,4,47.3,0.3738,1
463,42613.0,0.22612151628141258,6446.7532467532465,43887.0,34129.0,74986.0,170635.0,162793.0,-6157.0,19936.0,-342.0,5,67.8,0.386,4
464,137855.0,0.012118034315010632,6775.180722891566,104644.0,164724.0,88937.0,392250.0,377619.0,1507.0,108597.0,256.0,6,72.5,0.4388,5
465,26675.0,0.1515805238103728,5628.190661478599,142132.0,39089.0,183866.0,289289.0,280445.0,-9251.0,25048.0,-80.0,2,54.3,0.3691,7
466,31141.0,0.08631623749733985,6537.391304347826,34021.0,25777.0,85628.0,165396.0,164465.0,-5342.0,22192.0,-190.0,3,47.1,0.3821,3
467,42811.0,0.0865491207393491,7137.938718662953,71449.0,38849.0,75652.0,256252.0,257091.0,80.0,17595.0,-110.0,5,70.3,0.3988,3
468,12561.0,0.2969700758522964,8675.297619047618,35722.0,17702.0,53295.0,145745.0,143964.0,0.0,14884.0,10.0,4,69.5,0.3663,2
469,65759.0,0.09198863344574354,12192.515337423314,143273.0,39987.0,140627.0,596214.0,584170.0,-18716.0,51427.0,250.0,5,66.9,0.3716,8
470,24765.0,0.04412515389003994,4672.178899082569,50402.0,22818.0,83190.0,203707.0,199818.0,10.0,59058.0,-270.0,2,31.8,0.3928,3
471,17567.0,0.03297283835082979,7434.021739130435,30251.0,13964.0,48784.0,136786.0,132503.0,401.0,24315.0,-60.0,5,70.0,0.3741,8
472,223707.0,0.02034638770684956,6887.4495412844035,426324.0,195443.0,422717.0,1501464.0,1516682.0,-1033.0,102128.0,-880.0,5,55.9,0.4194,7
473,107195.0,0.009286579117992456,7679.558359621451,250149.0,113904.0,270577.0,973768.0,988631.0,770.0,179410.0,2090.0,5,72.9,0.4135,7
474,18357.0,0.0642849177931137,5849.490909090909,49754.0,15645.0,79334.0,160861.0,161422.0,386.0,26541.0,-30.0,3,54.4,0.354,5
475,243409.0,0.09470397959901906,8194.112381899553,385907.0,215607.0,417449.0,1647836.0,1605413.0,1876.0,263287.0,-90.0,5,66.7,0.4331,7
476,19865.0,0.5186327869872174,10913.410404624277,31314.0,25037.0,66435.0,188802.0,160765.0,-27104.0,21729.0,-190.0,4,61.7,0.3663,5
477,60449.0,0.09019128671932236,4319.826707441387,125404.0,70433.0,169182.0,423775.0,398564.0,-20671.0,46972.0,900.0,3,37.2,0.4335,8
478,15745.0,0.13225819807883404,5431.769722814499,45642.0,31174.0,107206.0,254750.0,241520.0,-939.0,58750.0,330.0,1,6.2,0.3793,6
479,95809.0,0.0767995577398718,7079.383062254627,343715.0,169410.0,458072.0,1262254.0,1251752.0,-90285.0,71652.0,-890.0,3,5.7,0.4061,2
480,165555.0,0.10985427469687553,6437.750972762646,192232.0,132859.0,263210.0,827251.0,833486.0,1090.0,59231.0,-920.0,5,70.7,0.3648,3
